num_past_loans,past_defaults,late_payments_count,avg_days_past_due,on_time_payment_ratio,repayment_regular_for_last_6m,utilization_ratio,current_outstanding_balance,active_loans_count,emi_bounce_count,field_officer_repayment_rating,declared_monthly_income,bank_avg_monthly_inflow,bank_balance_median,transaction_count_monthly,electricity_units,mobile_recharge_amount,asset_owned_count,ration_card_type,household_size,occupation_type,education_level,district_poverty_index,income_to_loan_ratio,monthly_obligation_ratio,repayment_score,ration_score,education_score,occupation_score,income_proxy_score
4.0,0.0,5.0,8.825607216461904,1.0,0.0,0.23702577204492764,17989.285301414257,4.0,0.0,5.0,10013.80941329941,12905.76958042859,1571.2924065021066,9.0,158.06233668569695,168.76311947875746,2.0,,7.0,Self Employed,Secondary,0.45591102481521906,6.679477893001866,0.23934962199131338,90.6142304554172,0.0,0.5,0.7,38.65101984185743
1.0,0.0,7.0,11.998775329584928,0.6771148219751432,1.0,0.4023631771703967,27905.469457220148,2.0,2.0,3.7436212284081125,8594.261412028956,10117.29171624282,1674.985550049684,14.0,106.00361455284853,127.10373272617787,1.0,BPL,6.0,Daily Wage,Secondary,0.7882874778607761,3.6955995849795573,0.1394396710281338,83.90492489380605,0.3,0.5,,30.462440058338327
1.0,1.0,7.0,11.998775329584928,,1.0,0.7326814887483116,84507.3372138184,3.0,2.0,1.0,16589.688287757144,18741.04499969121,3488.5321372385597,18.0,185.74589227597033,274.74075520442574,4.0,BPL,5.0,Farmer,Primary,0.7707570952357055,2.3556996388343765,0.10836082291220199,,0.3,,0.4,53.639450185835926
2.0,0.0,0.0,0.8926869336543437,0.7796911525606747,1.0,0.18227784318245294,9021.384385356543,2.0,0.0,,6341.36058573769,6283.5482461307865,521.4248224552375,5.0,73.15893263545782,162.9527545434464,0.0,APL,7.0,Farmer,Higher Secondary,0.8634332128237422,8.434170367686583,0.1889707164220983,99.16443975722015,1.0,0.7,0.4,
0.0,0.0,2.0,4.065855046777368,1.0,1.0,0.07798620050190898,4987.137121157511,2.0,0.0,5.0,8744.718778700502,10532.752774425271,844.0785364115931,6.0,101.79752455149585,159.90102853662836,0.0,APL,5.0,Farmer,Graduate,0.9043676394454218,21.037237508830792,0.13704081437114476,100.0,1.0,1.0,0.4,34.356237805218434
0.0,0.0,,2.4792709902158556,0.8137426918893671,1.0,0.08632554061454245,9542.141854569993,1.0,0.0,4.426760577979232,12105.54048447347,16774.28346724359,2554.480056819206,18.0,156.98254990614083,174.0580390159725,,APL,5.0,Self Employed,Higher Secondary,0.7379086298155048,15.22208178684013,0.04949888141997386,100.0,1.0,0.7,0.7,48.64258948572681
1.0,0.0,6.0,10.412191273023415,0.8137343259391384,0.0,0.19594591643572642,11563.140257556284,0.0,0.0,4.426718748228089,7597.459632825125,6477.180322226924,938.038872527647,9.0,,140.3517323661554,0.0,BPL,2.0,Farmer,Graduate,0.7203902588887288,7.883812679834039,0.0,87.27839387193713,0.3,1.0,0.4,30.967045752475855
3.0,0.0,8.0,13.58535938614644,0.45546589279989486,,,34210.498479675036,,2.0,,5741.523709476868,7804.665815883607,1360.0409635825772,12.0,82.67747700051785,118.81624945446006,2.0,BPL,8.0,Self Employed,Primary,0.21852784479814527,2.0138926260319967,0.5217742600331872,60.14306672059004,0.3,0.2,0.7,30.851145680389607
2.0,0.0,3.0,5.652439103338879,0.8244065593856866,,0.06925751890222998,5393.412449903016,0.0,,4.480079915460831,10576.037214321785,11498.924748871821,1508.8693127012339,14.0,170.85035771605732,186.3224350025374,1.0,Antyodaya,5.0,Farmer,Primary,0.26105378042539773,23.526648685185933,0.0,100.0,0.0,0.2,0.4,37.37034794488173
2.0,,4.0,7.239023159900391,0.7189564507240185,1.0,0.2647530671695926,15493.932273344468,,0.0,3.952829372152489,6976.612853097735,10349.152568897522,1645.4245952044234,6.0,98.23595065280118,173.21337161630834,1.0,APL,5.0,Daily Wage,Secondary,0.734409066763587,5.4030151768519215,0.17176654092553204,93.11712212918135,1.0,0.5,0.1,31.892411870919275
7.0,0.0,7.0,11.998775329584928,0.7831503750516408,,0.3519318188768813,30796.016115260045,1.0,0.0,4.273798993790601,9863.49469166463,8971.462559478374,677.3928051662714,21.0,108.43976532069439,151.5015949389308,,Antyodaya,2.0,Farmer,Graduate,0.8217999872575383,3.843292345498587,0.06074920516237211,92.83304542430089,0.0,,0.4,39.60104283011066
,0.0,2.0,4.065855046777368,0.7544708848676424,0.0,0.17140099000230513,13395.213154291074,2.0,1.0,4.130401542870609,8812.162334623894,6856.84952817872,903.7258016987722,13.0,104.85079610477779,166.35721991470325,0.0,,6.0,,Primary,0.5164957885585834,7.893719426345064,0.13599209661503164,85.04196114423642,1.0,,0.7,33.26901905622021
6.0,0.0,4.0,7.239023159900391,0.5444549496751158,1.0,0.4345999504635361,27144.746665432413,4.0,2.0,3.0803218669079757,8931.985199275601,7399.784109872806,381.33354023153765,6.0,122.20428431517831,177.62620361492574,,BPL,6.0,Govt Job,Secondary,0.620289065756178,3.9484573297000467,0.26833592510403387,79.85298123184467,0.3,0.5,1.0,31.449707240111998
3.0,1.0,7.0,11.998775329584928,0.45355297347608675,1.0,,44194.1510243021,2.0,1.0,1.1258119859128306,11222.837600550394,8028.06763417656,1222.5954904280354,14.0,145.10906676324475,205.1699441024778,3.0,Antyodaya,8.0,,Secondary,,3.0472585359545428,0.10678347873060436,,0.0,0.5,0.9,38.866502873791866
2.0,0.0,2.0,4.065855046777368,,1.0,0.1077706402966405,6674.776774336268,0.0,0.0,5.0,8360.439737404698,8295.867787661886,1622.5802937630644,8.0,103.75881432406544,176.58200531202615,,,3.0,,Illiterate,0.2837583589982809,15.028255173920359,0.0,100.0,0.3,0.0,0.9,37.82921658090303
2.0,0.0,6.0,10.412191273023415,0.6127190003018697,0.0,0.4113895641118199,27392.730856944254,0.0,1.0,3.4216421200417453,8196.403472201058,7837.344057511729,598.1128997692264,9.0,101.1782561238538,152.23036828392785,1.0,Antyodaya,8.0,Daily Wage,Illiterate,0.3828952129872362,3.590487260755117,0.0,75.78235027879708,0.0,0.0,0.1,24.538045066691637
2.0,1.0,7.0,11.998775329584928,0.7489755873866953,1.0,0.33517033449039646,24671.138084652805,3.0,0.0,2.6029250554658736,8732.86912490797,10573.11063726247,745.3779578890299,7.0,107.0088287021832,158.50825593468684,2.0,BPL,6.0,Self Employed,Primary,0.5932274207157486,4.247480665815605,0.20584011619937564,72.44751482234673,0.3,0.2,0.7,33.80861220262387
3.0,0.0,4.0,7.239023159900391,0.7485317390555536,0.0,0.25136284937444364,,1.0,0.0,4.100705813810165,,6335.007423513526,766.762206559685,5.0,131.20555945051353,148.83168800615957,1.0,BPL,7.0,Daily Wage,Primary,,6.047758506110821,0.07852368943660773,85.13422374776205,0.3,0.2,0.1,25.667950288645052
0.0,0.0,2.0,4.065855046777368,1.0,0.0,0.1845532800247721,17348.105204469946,1.0,0.0,5.0,11728.989219994217,15348.935199155798,1795.2008804141685,16.0,165.3096232551704,196.42591501830768,0.0,BPL,7.0,Self Employed,Illiterate,0.5174266064922455,8.112687598647296,0.05108787404728413,95.51095358700873,0.3,0.0,0.7,38.5546675413577
4.0,1.0,11.0,18.345111555830975,0.578541656009625,,0.5182872567265414,34068.03812124351,3.0,0.0,1.7507553985805218,9143.89608906199,,,5.0,121.15194292755348,148.70037679326364,,BPL,9.0,Farmer,Illiterate,0.6173628311872669,,0.19658841588057865,51.458001421481065,0.3,0.0,0.4,30.549560942014136
3.0,1.0,7.0,11.998775329584928,0.751054843199499,1.0,0.11044717270548254,7603.550173210036,1.0,1.0,2.613321334529892,9825.577737179336,13766.034770792547,1288.0163807626814,8.0,132.5655723265799,176.76250030319287,1.0,APL,6.0,Farmer,Higher Secondary,0.7724441251398847,15.5047872866333,0.06098361279733584,74.57181074453514,1.0,0.7,0.4,39.45225636818193
2.0,0.0,4.0,7.239023159900391,0.8825558285411038,1.0,0.20135360960280738,10536.985616735912,2.0,1.0,4.770826261237916,7376.475386458725,6244.8414922234015,441.716665064134,6.0,107.84660709357526,152.21671861519593,2.0,BPL,6.0,Farmer,Secondary,0.4310536801119866,8.399869563014512,0.16245671600531553,97.61948836551343,,0.5,0.4,30.784843755175114
6.0,0.0,9.0,15.171943442707951,0.6088338276278094,1.0,0.38532227767297783,22225.590064566386,3.0,1.0,3.402216256671444,7736.139510049918,10350.661574984,1950.3835395540361,5.0,100.95811728174375,135.62263805058407,3.0,BPL,7.0,Self Employed,Illiterate,0.37836378843863433,4.17669439400848,0.2323572727628892,81.42687219773701,0.3,0.0,0.7,33.421958843397036
2.0,0.0,8.0,13.58535938614644,0.8227465468050512,1.0,0.308544104278288,20674.378095047025,,0.0,4.4717798525576535,7967.498815374267,6764.201698704165,691.9331576413754,8.0,122.22568972068802,158.96238655309818,1.0,BPL,6.0,Daily Wage,Primary,0.8293572993629589,4.624340379409818,0.2256109559899278,92.50975459355928,0.3,0.2,0.1,25.65392180901857
,0.0,7.0,11.998775329584928,0.483680924524924,0.0,0.497964863765575,39283.71879097836,1.0,0.0,2.776451741157017,10558.410422812405,7556.26243358708,839.4030744971699,6.0,109.12944692957767,166.99428714183668,3.0,BPL,7.0,Daily Wage,Primary,,,,,0.3,0.2,0.1,32.87373108715413
2.0,0.0,6.0,10.412191273023415,0.8452500176146794,1.0,0.1490929664784686,13624.709626864094,2.0,0.0,4.584297206605794,12301.837701518656,9186.401831069139,1040.0138468263415,14.0,155.2915798830366,196.85151335416802,1.0,APL,2.0,Private Job,Primary,0.737128620130771,10.834081780751887,0.09741820974734842,97.57302036031935,1.0,0.2,0.9,43.6414217599797
,0.0,4.0,7.239023159900391,,,0.45005328404473083,24374.154025775846,6.0,1.0,3.2494832000768357,5904.751305093503,,552.4324609659781,14.0,109.2149442459554,,,,7.0,Private Job,Secondary,0.8374557924070469,2.906936119714087,0.6088236848005004,70.48370881591255,0.3,0.5,0.9,30.51752601912415
1.0,0.0,4.0,7.239023159900391,0.6059184302135167,1.0,0.36238090958477776,20311.073216354598,2.0,2.0,3.38763926959998,7637.115680286698,8599.896905848964,685.3674092785534,9.0,95.4004494022061,166.7996404391517,1.0,,5.0,Private Job,Primary,0.871223615119875,4.511867754082857,0.15691310185146917,84.16563906286437,0.3,0.2,0.9,30.306576260678018
1.0,0.0,3.0,5.652439103338879,0.6335778673068435,1.0,0.32841799530348087,17380.967760087842,1.0,1.0,3.5259364550666144,,7099.246186035085,368.6257754966711,5.0,99.65749562485696,148.78583524702336,0.0,BPL,8.0,Farmer,Higher Secondary,,5.121292793097631,0.08077177054643771,89.05014045932951,0.3,0.7,0.4,25.57839397358889
0.0,0.0,2.0,4.065855046777368,,,0.12758410508209195,,1.0,1.0,4.301067624434976,9613.431271799194,11662.922020182783,1453.184189153218,9.0,90.09778432861448,186.4191745910364,2.0,Antyodaya,4.0,Self Employed,Higher Secondary,0.7732867205245532,12.547364855993287,0.062329241835115096,97.4993570292396,0.0,0.7,0.7,36.63361234163546
2.0,0.0,2.0,4.065855046777368,0.5701203447844793,1.0,0.3836824722688365,35066.444520223034,1.0,1.0,3.208648842454793,11923.93815841315,11945.155876720179,1590.3874501184791,9.0,132.99729759820335,203.7021136101629,,APL,7.0,Farmer,,0.3882340695195472,4.080344600486667,0.05025268927070132,86.8515535510978,1.0,0.7,0.4,41.89608302023383
3.0,0.0,3.0,5.652439103338879,0.8566676765490446,1.0,0.19096099170134267,12000.91070793709,1.0,0.0,4.64138550127762,6977.333311796213,9459.794905735382,775.9627087601244,17.0,128.4122789348296,147.11056497315442,1.0,BPL,8.0,Self Employed,Secondary,0.5284508966020369,6.976222518151518,0.08587440368233377,100.0,0.3,0.5,0.7,33.974411530788615
3.0,1.0,11.0,18.345111555830975,0.1,0.0,0.9003166633723247,59039.902835573244,5.0,2.0,1.0,8436.694061001856,10956.913300775732,1243.0533860726364,8.0,,150.30095417794385,2.0,BPL,3.0,Self Employed,Secondary,0.5424433384694279,1.714748993828446,0.35510899513220295,28.14721244679194,0.3,0.5,0.7,36.70439315988476
0.0,0.0,3.0,5.652439103338879,1.0,1.0,,9855.76928197578,2.0,0.0,5.0,8547.162683253262,9176.583773342849,1410.0330692090388,10.0,103.86850991881457,157.11297635301796,2.0,BPL,9.0,Self Employed,Secondary,0.4713138426855097,10.40563588990488,0.14020795673930683,100.0,0.3,0.5,0.7,34.00895808083117
1.0,0.0,2.0,4.065855046777368,0.5826343950318349,,,8374.028081302147,1.0,1.0,3.2712190936915713,6987.458243290347,4953.026269113804,440.2756350361894,,,157.4307951513966,2.0,APL,4.0,Farmer,Illiterate,0.5132287423634857,10.01184689836255,0.08574998819266293,80.05521900026513,,0.0,0.4,33.181105017984756
1.0,0.0,12.0,19.931695612392485,0.4850978334669763,0.0,0.3785768807057237,20058.212103587008,4.0,1.0,2.7835362858672785,5649.604095869428,6302.44201499204,662.2687555466134,15.0,86.88408468291571,90.52121987184472,0.0,BPL,7.0,Farmer,Illiterate,0.6882417182830325,,0.4242096608998831,63.57791942036249,0.3,0.0,0.4,22.21535558669512
1.0,0.0,1.0,2.4792709902158556,1.0,,0.05,4144.883599683875,1.0,0.0,5.0,9956.263146658312,,1559.1562671588347,,118.57307366654308,174.34409781851292,2.0,BPL,8.0,Farmer,Graduate,0.18399918026975937,28.817779102387185,0.06018322535225744,100.0,0.3,1.0,0.4,38.673040910613196
1.0,0.0,6.0,10.412191273023415,0.9655758682425056,1.0,0.17903310609158754,11974.689293610967,1.0,0.0,5.0,9399.248324939246,11045.239937915541,1541.016858918486,5.0,125.99186331236783,,0.0,BPL,,Daily Wage,Secondary,0.7054906989356023,,0.06374940226389586,100.0,0.3,0.5,,30.976575007747588
0.0,0.0,3.0,5.652439103338879,0.4165108451302204,0.0,0.29376786545159833,17216.56557609453,,0.0,2.440601344183499,7892.853284910412,6539.76725980335,823.5305439585441,8.0,101.00662374517451,158.85955287055444,2.0,BPL,9.0,Farmer,Illiterate,0.2939067582575286,5.501023881705408,0.1518295793494384,73.07218571188174,0.3,0.0,0.4,28.255015642657487
4.0,1.0,2.0,4.065855046777368,0.46086744195636786,1.0,0.2798426043374139,,2.0,0.0,1.162384328314236,18122.53586002817,22324.80057443415,4023.599645418709,21.0,191.490501350512,279.98253403703706,1.0,Antyodaya,,Farmer,Secondary,0.8231796134149869,5.00665903071189,0.06613060679497382,67.44989748056899,0.0,0.5,0.4,51.66781642469279
3.0,0.0,5.0,8.825607216461904,1.0,1.0,0.07704555904911128,4990.523458795814,1.0,0.0,5.0,7132.954104426777,6169.862703909967,,10.0,106.68883658777462,140.78944525492798,3.0,APL,6.0,Private Job,Primary,0.4591326108307071,17.14816126974006,0.08400113079998803,100.0,1.0,0.2,0.9,37.847444543646354
,1.0,5.0,8.825607216461904,0.5440457707694498,1.0,0.5161760528523808,25770.461508188724,3.0,2.0,,6052.025515143751,,1157.7258713225995,6.0,86.90979877248542,105.17584861774012,0.0,BPL,7.0,Govt Job,Secondary,0.4141747742615936,,0.29700529611901044,60.5166937034661,0.3,0.5,1.0,28.63601042789609
3.0,,12.0,19.931695612392485,0.3753491349890198,0.0,0.6082571295735252,45519.016982454414,2.0,2.0,2.234792793477496,10005.554417956282,13558.860410117855,2101.104006811065,,133.27813780132124,164.32154783826252,3.0,BPL,5.0,Farmer,Illiterate,0.5576488639365731,2.637667140189223,0.11977353778673736,57.21979945536597,0.3,0.0,0.4,38.50412150734679
